REGION,STATION_ID,LONGITUDE,LATITUDE,STATION_TYPE
NBS,NBS-40,-168.55,63.23,MODIFIED_2018
NBS,NBS-41,-167.86,65.25,MODIFIED_2018
NBS,NBS-42,-167.82,64.76,MODIFIED_2018
NBS,NBS-43,-167.67,64.25,MODIFIED_2018
NBS,NBS-44,-167.65,63.76,MODIFIED_2018
NBS,NBS-45,-167.64,63.25,MODIFIED_2018
NBS,NBS-46,-167.58,62.75,MODIFIED_2018
NBS,NBS-47,-167.54,62.25,MODIFIED_2018
NBS,NBS-48,-166.6,64.26,MODIFIED_2018
NBS,NBS-49,-166.6,63.74,MODIFIED_2018
NBS,NBS-5,-173.09,62.72,MODIFIED_2018
NBS,NBS-6,-172.92,62.25,MODIFIED_2018
NBS,NBS-7,-172.8,61.75,MODIFIED_2018
NBS,NBS-8,-172.71,61.25,MODIFIED_2018
NBS,NBS-9,-172.29,63.76,MODIFIED_2018
NBS,R-01,-168.01,60.67,STANDARD
NBS,R-02,-167.32,60.67,STANDARD
NBS,R-03,-166.64,60.67,STANDARD
NBS,R-18,-168.69,60.67,STANDARD
NBS,R-19,-169.38,60.67,STANDARD
NBS,R-20,-170.06,60.67,STANDARD
NBS,R-21,-170.75,60.67,STANDARD
NBS,S-01,-168.04,61,STANDARD
NBS,S-02,-167.35,61,STANDARD
NBS,S-03,-166.65,61,STANDARD
NBS,S-18,-168.73,61,STANDARD
NBS,S-19,-169.42,61,STANDARD
NBS,S-20,-170.11,61,STANDARD
NBS,S-21,-170.8,61,STANDARD
NBS,T-01,-168.07,61.33,STANDARD
NBS,T-02,-167.37,61.33,STANDARD
NBS,T-03,-166.67,61.33,STANDARD
NBS,T-18,-168.77,61.33,STANDARD
NBS,T-19,-169.46,61.33,STANDARD
NBS,T-20,-170.16,61.33,STANDARD
NBS,T-21,-170.86,61.33,STANDARD
NBS,T-22,-171.56,61.33,STANDARD
NBS,T-23,-172.26,61.33,STANDARD
NBS,T-24,-172.95,61.33,STANDARD
NBS,U-01,-168.1,61.67,STANDARD
NBS,U-02,-167.39,61.67,STANDARD
NBS,U-03,-166.69,61.67,STANDARD
